chunks,type
their Whole Self,not_skill
the execution and controlling evaluation,not_skill
hybrid work model team,not_skill
the corporate data warehouse corporate data lake cubes,not_skill
Mathematics Data Analytics Statistics Computer Science Electrical Engineering Physics Economics Bioengineering,hard_skill
a positive workplace,not_skill
relative fields,not_skill
your own career,not_skill
Close supervision,not_skill
data driven decision,not_skill
GmbH Friedrich Ebert Allee,not_skill
our internal teams,not_skill
different innovation programs,not_skill
Geneva Work,not_skill
What role,not_skill
regression tests,not_skill
legally protected characteristics,not_skill
Analytics Enablement,not_skill
Collect sales data,not_skill
a significant contributor,not_skill
telecom engineers tasks,not_skill
clients briefs,not_skill
Salesforce Aisera,not_skill
Spark Streaming PySpark,not_skill
agile working methods,not_skill
R Excel etc Strong background,hard_skill
significant exposure,not_skill
manner,not_skill
Kaizen Gaming,not_skill
Computer Science Statistics Mathematics Engineering Physics,hard_skill
appropriate solutions,not_skill
Applaudo Studios values,not_skill
the Line,not_skill
marital status physical or mental disability,not_skill
analytical processes calculations,not_skill
your family,not_skill
containers e g Dockers Kubernetes,hard_skill
interview,not_skill
CI CD orchestration,hard_skill
a Data Engineer Advanced knowledge,not_skill
Computer Science or Computer Engineering,not_skill
scalable big data based advanced analytics software,hard_skill
continuous investment,not_skill
Operators Experience,not_skill
inference engines,not_skill
EMR MS,not_skill
insights Comprehension,not_skill
No other party,not_skill
Tableau Web application development Key Responsibilities Development,hard_skill
our technical team,not_skill
top professionals,not_skill
existing processes,not_skill
model relevance,not_skill
augmentation discoverability,not_skill
SP performance,not_skill
RAM fast SSD Pluralsight,not_skill
Amazon Web Services,hard_skill
Hadoop NIFI Kafka Spark,hard_skill
related discipline Experience,soft_skill
speed,not_skill
Liaise,not_skill
top Allocated shares,not_skill
applications,not_skill
decision,not_skill
the smooth and efficient data migration process,not_skill
our offices,not_skill
a Greek company,not_skill
e mail,not_skill
Target Identification,not_skill
segmentation,not_skill
Primary LocationAthens,not_skill
the Revenue Management day,not_skill
innovation intelligence,not_skill
high paced high accountability professional environments scale ups,not_skill
a broad set,not_skill
working home + office Apple or Dell equipment,not_skill
an appetite,not_skill
the development team,not_skill
strong ability,not_skill
an Machine Learning Ops Engineer,hard_skill
PaaS solutions,not_skill
A coaching and learning ecosystem,not_skill
hand Analyse,not_skill
Responsibilities,not_skill
Design AI services architecture specifications,not_skill
data science product strategy,not_skill
The Institute,not_skill
3 years,not_skill
Java PL SQL or T SQL Experience,hard_skill
team members,not_skill
risk mitigation strategies,not_skill
a first class opportunity,not_skill
large and disconnected datasets Experience,not_skill
hypothesis,not_skill
audiences,not_skill
technology risk governance internal audit regulatory compliance risk analytics public sector,not_skill
Private Medical Life Insurance,not_skill
a novel therapy,not_skill
cloud provider toolset,not_skill
an integral member,not_skill
the art projects,not_skill
live support,not_skill
PTSD Copies,not_skill
the most important element,not_skill
the roadmap planning process,not_skill
equivalent data science platforms,not_skill
data Exposure,not_skill
professional or research experience,not_skill
infrastructure cloud services AWS,hard_skill
project based team leadership,not_skill
a technical problem,not_skill
our department s focus,not_skill
automated and efficient processes,not_skill
multiple disciplines,not_skill
our Team,not_skill
life,not_skill
target,not_skill
Customer Experience,not_skill
the technical experts,not_skill
250 million EURO EUROPEAN DYNAMICS,not_skill
ERP deployments Experience,not_skill
deep understanding,not_skill
Apache projects,hard_skill
4 socket machines,not_skill
a competitive remuneration,not_skill
technology services,not_skill
the best insights,not_skill
Amazon Redshift Amazon S3 DWH,hard_skill
a collaborative culture,not_skill
INTRACOM TELECOM,not_skill
our DNA,not_skill
data science tools,not_skill
3 Hungary,not_skill
similar MSc,hard_skill
closure days,not_skill
similar quantitative field,not_skill
your resume,not_skill
53 BSc,not_skill
The exceptional candidate,not_skill
our Cloud Data Warehouse,not_skill
the art data solutions,not_skill
communication and business integration,not_skill
phased approaches,not_skill
a Senior Big Data Engineer,hard_skill
no 25 20144 Milan Italy,not_skill
English classes,hard_skill
data science and enterprise solutions,not_skill
skill enthusiasm,not_skill
a challenging job,not_skill
a large organization,not_skill
a 360o solution provider addressing end,not_skill
level,not_skill
world class institutions,not_skill
SOFTONE,not_skill
4 8 years experience,not_skill
development teams,not_skill
organizational issues,not_skill
online assessment,not_skill
large scala data processing Design test,hard_skill
EBA guidelines,not_skill
data related issues,not_skill
time series processing,not_skill
the PhD Research Project PHD 2022 A1 Development,not_skill
revenue creation,not_skill
Lead development,not_skill
the world MAN Energy Solution Hellas Ltd,not_skill
Ernst Young Global Limited,not_skill
advanced statistical modeling and machine learning techniques generalized linear models,hard_skill
standards,not_skill
THE JOB,not_skill
high quality results,not_skill
Training Career Development,not_skill
Your Qualifications Skills 5+ years,not_skill
your growth Free trainings,not_skill
Europe,not_skill
Cloud Apache Airflow Apache NiFi Python Greece Portugal Poland,hard_skill
the European Telco footprint,not_skill
analysis processes,not_skill
actionable high impact insights,not_skill
project requirements,not_skill
day,not_skill
the day,not_skill
our Technology Consulting practice,not_skill
numerous opportunities,not_skill
data lifecycle data governance lineage catalog,not_skill
Dr Achilleas Pavlou,not_skill
Chubb,not_skill
data engineering,not_skill
your family members,not_skill
junior team members,not_skill
SQL Excel,hard_skill
your personalized credentials,not_skill
industry experience,not_skill
premises,not_skill
a market leader,not_skill
race colour national origin ethnicity gender disability sexual orientation gender identity or religion EUROPEAN DYNAMICS ED adheres,not_skill
data application integration solutions Design,not_skill
analytical insights industry trends,not_skill
predictive analytics platform,not_skill
different data types,not_skill
predictive and prescriptive models,not_skill
this mindset,not_skill
Artificial Intelligence Data Science Deep learning,hard_skill
AWS SageMaker,hard_skill
complex data issues,not_skill
PG SQL Develop python applications,hard_skill
any popular framework,not_skill
digital technology,not_skill
all revenue streams,not_skill
a centre,not_skill
two Energy Groups Hellenic Petroleum,not_skill
bugs,not_skill
the first ones,not_skill
their entertainment,not_skill
Strong initiative,soft_skill
both the individual end user,not_skill
risk,not_skill
predictive modeling projects,not_skill
RL,hard_skill
self service resolutions,not_skill
Hematology oncology and autoimmune diseases,not_skill
authors institutions,not_skill
technical jargon,not_skill
the domain,not_skill
Apply,not_skill
the design delivery,not_skill
Knowledge experience,not_skill
all necessary supporting documents,not_skill
LinkedIn Learning platform Language courses,not_skill
the wider Western Greece region,not_skill
Excellent,not_skill
English,hard_skill
Text Mining and Natural Language Processing Representation Learning Similarity Analysis Recommendation Machine Learning Engineering,hard_skill
the best possible solutions,not_skill
meaningful relationships,not_skill
noETL passive active ETL Exceptional attention,not_skill
a global setting,not_skill
technology Ability,not_skill
5+ years experience,not_skill
More than 284 000 people,not_skill
data strategy,not_skill
the launch,not_skill
Competitive salary,not_skill
application service,not_skill
Data mapping and ETL transformation Professional Experience Qualifications Previous working experience,hard_skill
architecture Data acquisition ETL Analysis Professional,hard_skill
customer loyalty,not_skill
a community,not_skill
defense structure,not_skill
manual processes,not_skill
a digital powerhouse,not_skill
performance related bonus Private health insurance Corporate pension fund,not_skill
Critical thinking,soft_skill
a high level,not_skill
3+ years,not_skill
their true potential,not_skill
Pan Net Croatia,not_skill
big data processing technologies,not_skill
technical advice,not_skill
SQL queries,hard_skill
the Deloitte organization,not_skill
Bubbles Luigi Odo etlalchemy,not_skill
Agile methodologies Requirements,not_skill
SageMaker Skilled,hard_skill
tech data centric projects,not_skill
relational and NoSQL technologies Systems administration skills,hard_skill
today s connected world,not_skill
new situations,not_skill
the monitoring,not_skill
ELT Experience,not_skill
the following Contribute,not_skill
Manage projects,not_skill
certified English teachers,not_skill
e mail address,not_skill
technical aspects,not_skill
SQL or data mining Experience,hard_skill
Private life health insurance Room,not_skill
data projects,not_skill
any future consideration,not_skill
tech challenges,not_skill
the Data Science architecture infrastructure Requirements,not_skill
analytics data,hard_skill
a close eye,not_skill
creatively Familiarity,not_skill
solution,not_skill
combination,not_skill
schedule,not_skill
the product and services lifecycle,not_skill
distributed systems,hard_skill
unforgettable digital connections,not_skill
industrialized analytic data and code assets,not_skill
business analysis,not_skill
soft skill,not_skill
Suriname Turkey,not_skill
Concepts PoC,not_skill
the Apache Hadoop ecosystem YARN HDFS HBase Spark Working experience,hard_skill
types,not_skill
Qualifications Professional Experience and Educational Requirements BS MS degree,hard_skill
a work,not_skill
connector features,not_skill
a benefit Experience,not_skill
business value,not_skill
scalability stability accuracy speed,not_skill
TDD Confident Linux user,not_skill
The PhD programme,not_skill
our company wide digital transformation strategy,not_skill
B Uber NARS,not_skill
the design development enhancement,not_skill
our own networks,not_skill
our primary data analysis tool,not_skill
2 4 Years,not_skill
the Data team,not_skill
interpretability,not_skill
complex business issues,not_skill
13th salary,not_skill
some highlights,not_skill
honest constructive criticism,soft_skill
AI Service Management AISM Aisera,not_skill
new or existing data infrastructure Build tools,not_skill
quality automation,not_skill
stakeholder management,not_skill
a strong focus,not_skill
the data factory team,not_skill
Holidays,not_skill
greater value,not_skill
agile methodologies,not_skill
care teamwork humor integrity,soft_skill
scaled organisations,not_skill
RESTful API Docker Security Linux,hard_skill
workarounds,not_skill
Our proprietary technology,not_skill
reviews design documentation,not_skill
the markets,not_skill
data driven automated decision,not_skill
this Role,not_skill
an office,not_skill
a professional,soft_skill
Big Data Ecosystem,hard_skill
strong communication and collaboration skills,soft_skill
Personal DataPlease,not_skill
Free access,not_skill
digital transformation,not_skill
terms,not_skill
Covid 19 guidelines,not_skill
the SQL Server Reporting Services Knowledge,hard_skill
CI CD technologies,hard_skill
continuous deployment,hard_skill
highly expertised data and software engineers,soft_skill
accurate data,not_skill
welcome Passionate,not_skill
employment opportunity,not_skill
at least one data warehouse system Experience,not_skill
Data Analytics,hard_skill
sales brand MAN PrimeServ,not_skill
overall data science industrialization capability roadmap development Coordinate,not_skill
equivalent advantage Experience,not_skill
data transformation jobs,not_skill
the proven application,not_skill
the biggest European telecommunications companies,not_skill
software testing,hard_skill
specific questions,not_skill
